address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,inbound_xrefs,callers,description,evidence,aliases,generated
0x1014,0x1014,TIC3,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1016,0x1017,TOC1,mcu_io,u16,2,16,,,,mcu,confirmed-family,0,,68HC11 timer output compare 1 register.,decoded producer/consumer instruction flow,,false
0x1018,0x1019,TOC2,mcu_io,u16,2,16,,,,mcu,confirmed-family,0,,68HC11 timer output compare 2 register.,decoded producer/consumer instruction flow,,false
0x101A,0x101B,TOC3,mcu_io,u16,2,16,,,,mcu,confirmed-family,0,,68HC11 timer output compare 3 register.,decoded producer/consumer instruction flow,,false
0x101C,0x101C,TOC4,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1020,0x1020,TCTL1,mcu_io,u8,1,8,,,,mcu,confirmed-family,0,,68HC11 output compare action control register.,decoded producer/consumer instruction flow,,false
0x1022,0x1022,TMSK1,mcu_io,u8,1,8,,,,mcu,confirmed-family,0,,68HC11 timer interrupt mask 1 register.,decoded producer/consumer instruction flow,,false
0x1023,0x1023,TFLG1,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1024,0x1024,TMSK2_or_status,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1025,0x1025,TFLG2,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1028,0x1028,SPCR,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1029,0x1029,SPSR,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102A,0x102A,SPDR,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102B,0x102B,BAUD,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102C,0x102C,SCCR1,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102D,0x102D,SCCR2,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102E,0x102E,SCSR,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102F,0x102F,SCDR,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1030,0x1030,ADCTL,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1031,0x1031,ADR1,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1032,0x1032,ADR2,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
